House,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Gryffindor,Ask for more stories,Violin,Trusted,Ghosts,Nightmare: silly voice,Forest,Heads
Slytherin,Cowardly,Black visions goblet,Boredom,Talk to animals,Tell Flitwick before the test,Stars,Black
Gryffindor,Cowardly,Black visions goblet,Cure>Records>Book,Ghosts,"Cobbled street, ancient buildings",Forest,Black
Hufflepuff,Cowardly,Drums,Cure>Book>Records,Magical Creatures,Lie and say you don't know,River,Heads
Ravenclaw,Cowardly,Drums,Hunger,Superstrength,Wide sunny grassy lane,Dawn,Left
Gryffindor,Cowardly,Drums,Praised,Ghosts,Volunteer to fight,Moon,Tails
Gryffindor,Cowardly,Drums,Praised,Hexes and jinxes,"Proceed with caution, concealed wand",Dawn,Right
Gryffindor,Cowardly,Fresh Parchment,Cold,Every area of magic,Volunteer to fight the troll,Dawn,Black
Gryffindor,Cowardly,Fresh Parchment,Loneliness,Trolls,Wide sunny grassy lane,Dawn,Tails
Gryffindor,Cowardly,Golden sunspots potion,Cure>Book>Records,Centaurs,"Draw wand, find source",Forest,Right
Gryffindor,Cowardly,Golden sunspots potion,Praised,Ghosts,"Nightmare: high up, no handholds",Moon,White
Gryffindor,Cowardly,Golden sunspots potion,Trusted,Broom Flying,Ask what makes them think so,Dawn,Heads
Gryffindor,Cowardly,Golden sunspots potion,Trusted,Broom Flying,Ask what makes them think so,Dawn,Heads
Gryffindor,Cowardly,Log Fire,Being Ignored,Invisibility,Eye at keyhole of dark,Forest,Right
Gryffindor,Cowardly,Log Fire,Cure>Book>Records,Invisibility,"Draw wand, find source",Moon,Right
Gryffindor,Cowardly,Log Fire,Praised,Change appearance,Tell person to tell truth or you will,Dusk,Right
Gryffindor,Cowardly,Luminous pool,Cure>Book>Records,Change appearance,Twisting leafy woodsy path,Forest,Right
Gryffindor,Cowardly,Luminous pool,Trusted,Magical Creatures,"Draw wand, find source",Dawn,Black
Slytherin,Cowardly,Merlin's rune box,Records>Cure>Book,Centaurs,Suggest all 3 fight (without informing troll),Moon,Tails
Gryffindor,Cowardly,Ornate temptation box,Cure>Book>Records,Superstrength,Eye at keyhole of dark,Stars,Right
Gryffindor,Cowardly,Pewter box for worthy,Book>Records>Cure,Ghosts,Twisting leafy woodsy path,River,Black
Gryffindor,Cowardly,Pewter box for worthy,Feared,Centaurs,Agree and walk away (bluffing),Dawn,Heads
Gryffindor,Cowardly,Pewter box for worthy,Trusted,Every area of magic,Ask what makes them think so,River,Tails
Slytherin,Cowardly,Piano,Being Ignored,Castle secrets,"Worried about mental health, call Dr.",Dusk,Tails
Ravenclaw,Cowardly,Piano,Cure>Book>Records,Invisibility,"Tell Flitwick, you'll get points",Forest,White
Hufflepuff,Cowardly,Piano,Loneliness,Magical Creatures,"Worried about mental health, call Dr.",Dusk,White
Gryffindor,Cowardly,Piano,Praised,Ghosts,Eye at keyhole of dark,Stars,Heads
Gryffindor,Cowardly,Piano,Praised,Vampires,Ask what makes them think so,Moon,Heads
Ravenclaw,Cowardly,Piano,Trusted,Invisibility,Agree and walk away (bluffing),River,Left
Gryffindor,Cowardly,Plums and chocolate,Cure>Book>Records,Broom Flying,Volunteer to Fight,River,Tails
Gryffindor,Cowardly,Plums and chocolate,Cure>Book>Records,Broom Flying,Volunteer to fight the troll,River,Tails
Gryffindor,Cowardly,Plums and chocolate,Cure>Book>Records,Werewolves,Eye at keyhole of dark,Forest,Tails
Hufflepuff,Cowardly,Plums and chocolate,Trusted,Every area of magic,Lie and say you don't know,River,Right
Slytherin,Cowardly,Sea,Book>Cure>Records,Trolls,Offer them a sample of a jinx,Dusk,Right
Gryffindor,Cowardly,Sea,Praised,Change the past,Tell person to tell truth or you will,Forest,Left
Gryffindor,Cowardly,"Silver tree, golden apples",Boredom,Castle secrets,Tell person to tell truth or you will,Dawn,White
Ravenclaw,Cowardly,"Silver tree, golden apples",Cure>Book>Records,Every area of magic,Confuse Troll,Moon,Heads
Slytherin,Cowardly,"Silver tree, golden apples",Feared,Vampires,Lantern-lit alley,Moon,Right
Gryffindor,Cowardly,"Silver tree, golden apples",Praised,Change the past,Eye at keyhole of dark,Forest,Heads
Gryffindor,Cowardly,Silvery glittery potion,Boredom,Broom Flying,Agree and walk away (bluffing),Moon,Right
Gryffindor,Cowardly,Silvery glittery potion,Cure>Book>Records,Change the past,"Cobbled street, ancient buildings",Stars,Tails
Gryffindor,Cowardly,Silvery glittery potion,Cure>Book>Records,Merpeople,"Draw wand, find source",Dawn,Black
Ravenclaw,Cowardly,Silvery glittery potion,Trusted,Read Minds,"Cobbled street, ancient buildings",Dusk,Black
Ravenclaw,Cowardly,Smell: Parchment,Book>Cure>Records,Every area of magic,Tell person to tell truth or you will,Moon,Tails
Slytherin,Cowardly,Statue,Boredom,Change the past,Volunteer to fight,Moon,White
Gryffindor,Cowardly,Statue,Loneliness,Change appearance,"Up high, no handholds",River,White
Gryffindor,Cowardly,Statue,Trusted,Castle secrets,"Draw wand, find source",Moon,Heads
Gryffindor,Cowardly,Talking toadstools,Boredom,Every area of magic,"Worried about mental health, call Dr.",Stars,Tails
Gryffindor,Cowardly,Talking toadstools,Cure>Book>Records,Every area of magic,Ask what makes them think so,Forest,Right
Slytherin,Cowardly,Talking toadstools,Praised,Werewolves,Ask what makes them think so,Moon,Left
Slytherin,Cowardly,Talking toadstools,Praised,Werewolves,Ask what makes them think so,Moon,Left
Hufflepuff,Cowardly,Talking toadstools,Trusted,Every area of magic,No one knows you,Dusk,Tails
Gryffindor,Cowardly,Trumpet,Boredom,Ghosts,Offer them a sample of a jinx,Stars,Black
Gryffindor,Cowardly,Trumpet,Cure>Book>Records,Change the past,Draw wand and stand ground,Moon,Right
Hufflepuff,Cowardly,Trumpet,Records>Cure>Book,Goblins,Tell Flitwick before the test,Dusk,White
Gryffindor,Cowardly,Violin,Boredom,Ghosts,Twisting leafy woodsy path,Moon,Right
Slytherin,Glory,Black visions goblet,Being Ignored,Invisibility,Suggest all 3 fight (without informing troll),Moon,Black
Hufflepuff,Glory,Black visions goblet,Liked,Magical Creatures,"Proceed with caution, concealed wand",Stars,Tails
Ravenclaw,Glory,Drums,Book>Records>Cure,Ghosts,Draw wand and stand ground,Dawn,White
Gryffindor,Glory,Drums,Boredom,Merpeople,"Cobbled street, ancient buildings",Dawn,Right
Gryffindor,Glory,Drums,Cold,Superstrength,"Tell Flitwick, you'll get points",Forest,Black
Gryffindor,Glory,Drums,Cure>Book>Records,Merpeople,"Draw wand, find source",Moon,Heads
Slytherin,Glory,Drums,Liked,Talk to animals,Draw wand and stand ground,Moon,Black
Gryffindor,Glory,Golden sunspots potion,Cold,Centaurs,Agree and walk away (bluffing),River,Left
Hufflepuff,Glory,Golden sunspots potion,Loneliness,Merpeople,Eye at keyhole of dark,Forest,Heads
Gryffindor,Glory,Golden sunspots potion,Praised,Broom Flying,Agree and walk away (bluffing),Forest,Left
Slytherin,Glory,Home,Cold,Merpeople,"Up high, no handholds",Forest,Tails
Gryffindor,Glory,Home,Praised,Merpeople,"Proceed with caution, concealed wand",Forest,Left
Gryffindor,Glory,Home,Praised,Merpeople,Ask what makes them think so,Stars,Tails
Gryffindor,Glory,Log Fire,Boredom,Trolls,Tell person to tell truth or you will,Forest,White
Gryffindor,Glory,Log Fire,Cure>Book>Records,Hexes and jinxes,Twisting leafy woodsy path,Forest,Heads
Hufflepuff,Glory,Luminous pool,Book>Records>Cure,Ghosts,Eye at keyhole of dark,Stars,Heads
Slytherin,Glory,Merlin's rune box,Being Ignored,Merpeople,Ask what makes them think so,River,White
Slytherin,Glory,Merlin's rune box,Cold,Apparition/Disapparition,Ask what makes them think so,Forest,Left
Slytherin,Glory,Merlin's rune box,Cure>Book>Records,Apparition/Disapparition,"Up high, no handholds",Dusk,White
Slytherin,Glory,Merlin's rune box,Praised,Merpeople,"Proceed with caution, concealed wand",Dusk,Left
Gryffindor,Glory,Ornate temptation box,Cure>Book>Records,Magical Creatures,Volunteer to fight the troll,Dawn,Heads
Ravenclaw,Glory,Ornate temptation box,Hunger,Goblins,"Up high, no handholds",Dawn,Heads
Gryffindor,Glory,Ornate temptation box,Trusted,Castle secrets,Ask what makes them think so,Dawn,Heads
Slytherin,Glory,Ornate temptation box,Trusted,Every area of magic,Suggest all 3 fight (without informing troll),Moon,Left
Slytherin,Glory,Parchment,Trusted,Change the past,Ask what makes them think so,River,Left
Gryffindor,Glory,Pewter box for worthy,Being Ignored,Ghosts,Ask what makes them think so,Dawn,Black
Slytherin,Glory,Pewter box for worthy,Feared,Superstrength,"Up high, no handholds",Moon,Tails
Gryffindor,Glory,Pewter box for worthy,Praised,Centaurs,Tell person to tell truth or you will,Dawn,Right
Gryffindor,Glory,Pewter box for worthy,Trusted,Werewolves,Tell person to tell truth or you will,River,White
Hufflepuff,Glory,Piano,Records>Cure>Book,Werewolves,Silly voice,Dusk,Heads
Slytherin,Glory,Sea,Records>Book>Cure,Transfiguration,Withdraw and review spells,Dusk,Black
Slytherin,Glory,"Silver tree, golden apples",Cold,Apparition/Disapparition,Lie and say you don't know,Dusk,Left
Slytherin,Glory,"Silver tree, golden apples",Cure>Book>Records,Merpeople,Lie and say you don't know,Dusk,Tails
Slytherin,Glory,"Silver tree, golden apples",Praised,Transfiguration,Offer them a sample of a jinx,Dawn,Left
Slytherin,Glory,"Silver tree, golden apples",Records>Book>Cure,Superstrength,"Proceed with caution, concealed wand",River,Left
Gryffindor,Glory,Silvery glittery potion,Cure>Book>Records,Change appearance,Twisting leafy woodsy path,Dusk,Tails
Gryffindor,Glory,Silvery glittery potion,Cure>Book>Records,Merpeople,Lie and say you don't know,Forest,Left
Gryffindor,Glory,Silvery glittery potion,Cure>Book>Records,Merpeople,Twisting leafy woodsy path,Stars,White
Gryffindor,Glory,Silvery glittery potion,Cure>Book>Records,Read Minds,Twisting leafy woodsy path,Forest,Right
Gryffindor,Glory,Silvery glittery potion,Trusted,Ghosts,Confuse Troll,River,Black
Slytherin,Glory,Statue,Book>Records>Cure,Castle secrets,"Proceed with caution, concealed wand",Moon,Tails
Gryffindor,Glory,Statue,Cure>Book>Records,Castle secrets,"Worried about mental health, call Dr.",Moon,Heads
Gryffindor,Glory,Statue,Cure>Book>Records,Werewolves,Ask what makes them think so,River,Black
Gryffindor,Glory,Tortoiseshell squeaky box,Cure>Book>Records,Invisibility,Suggest all 3 fight (without informing troll),Stars,White
Hufflepuff,Glory,Tortoiseshell squeaky box,Liked,Werewolves,No one knows you,Forest,Heads
Hufflepuff,Glory,Tortoiseshell squeaky box,Loneliness,Change appearance,Twisting leafy woodsy path,Dusk,White
Hufflepuff,Glory,Tortoiseshell squeaky box,Records>Cure>Book,Superstrength,Tell person to tell truth or you will,Forest,Right
Hufflepuff,Glory,Trumpet,Book>Records>Cure,Every area of magic,Volunteer to fight,Stars,White
Hufflepuff,Glory,Trumpet,Hunger,Superstrength,"Up high, no handholds",River,Left
Hufflepuff,Glory,Trumpet,Liked,Superstrength,Offer them a sample of a jinx,River,Heads
Slytherin,Glory,Violin,Cold,Merpeople,"Proceed with caution, concealed wand",Forest,Tails
Slytherin,Glory,Violin,Praised,Change appearance,Twisting leafy woodsy path,Dusk,White
Slytherin,Glory,Violin,Praised,Merpeople,"Up high, no handholds",Forest,Left
Slytherin,Ignorant,Black visions goblet,Cure>Records>Book,Ghosts,"Proceed with caution, concealed wand",River,Left
Gryffindor,Ignorant,Drums,Cure>Book>Records,Magical Creatures,Volunteer to fight the troll,Forest,Left
Gryffindor,Ignorant,Drums,Cure>Book>Records,Magical Creatures,Volunteer to fight the troll,Forest,Right
Ravenclaw,Ignorant,Drums,Loneliness,Transfiguration,"Up high, no handholds",Moon,Black
Ravenclaw,Ignorant,Drums,Loneliness,Transfiguration,"Up high, no handholds",River,Black
Slytherin,Ignorant,Drums,Praised,Goblins,Agree and walk away (bluffing),River,Black
Gryffindor,Ignorant,Drums,Trusted,Invisibility,Offer them a sample of a jinx,Stars,Black
Ravenclaw,Ignorant,Fresh Parchment,Book>Cure>Records,Read Minds,Eye at keyhole of dark,River,Heads
Ravenclaw,Ignorant,Fresh Parchment,Book>Cure>Records,Talk to animals,Ask what makes them think so,Forest,Heads
Ravenclaw,Ignorant,Fresh Parchment,Book>Records>Cure,Centaurs,Withdraw and review spells,Stars,Heads
Ravenclaw,Ignorant,Fresh Parchment,Cure>Book>Records,Change appearance,WIthdraw and review spells,Stars,Heads
Ravenclaw,Ignorant,Fresh Parchment,Cure>Book>Records,Every area of magic,Eye at keyhole of dark,Forest,Left
Ravenclaw,Ignorant,Fresh Parchment,Cure>Book>Records,Every area of magic,Ask what makes them think so,Stars,Left
Ravenclaw,Ignorant,Fresh Parchment,Cure>Book>Records,Werewolves,"Tell Flitwick, you'll get points",Forest,Heads
Ravenclaw,Ignorant,Fresh Parchment,Hunger,Change appearance,"Tell Flitwick, you'll get points",Stars,Left
Ravenclaw,Ignorant,Fresh Parchment,Hunger,Every area of magic,Withdraw and review spells,Forest,Heads
Ravenclaw,Ignorant,Fresh Parchment,Loneliness,Invisibility,Ask what makes them think so,Dawn,Left
Ravenclaw,Ignorant,Fresh Parchment,Trusted,Ghosts,"Tell Flitwick, you'll get points",Stars,Left
Ravenclaw,Ignorant,Fresh Parchment,Trusted,Werewolves,Ask what makes them think so,Dusk,Heads
Gryffindor,Ignorant,Golden sunspots potion,Being Ignored,Centaurs,Tell person to tell truth or you will,Moon,Right
Gryffindor,Ignorant,Golden sunspots potion,Being Ignored,Centaurs,Tell person to tell truth or you will,Moon,Right
Hufflepuff,Ignorant,Golden sunspots potion,Book>Cure>Records,Merpeople,"Proceed with caution, concealed wand",Stars,Heads
Slytherin,Ignorant,Golden sunspots potion,Feared,Vampires,Offer them a sample of a jinx,Moon,Right
Ravenclaw,Ignorant,Golden sunspots potion,Hunger,Transfiguration,"Worried about mental health, call Dr.",Moon,White
Gryffindor,Ignorant,Home,Boredom,Invisibility,"Cobbled street, ancient buildings",Forest,Tails
Ravenclaw,Ignorant,Home,Imitated,Magical Creatures,Twisting leafy woodsy path,Dawn,Heads
Ravenclaw,Ignorant,Log Fire,Being Ignored,Every area of magic,Eye at keyhole of dark,Moon,Left
Ravenclaw,Ignorant,Log Fire,Being Ignored,Goblins,Eye at keyhole of dark,Moon,White
Slytherin,Ignorant,Log Fire,Book>Records>Cure,Apparition/Disapparition,"Tell Flitwick, you'll get points",River,Heads
Ravenclaw,Ignorant,Log Fire,Book>Records>Cure,Read Minds,Ask what makes them think so,Forest,Left
Gryffindor,Ignorant,Log Fire,Cure>Book>Records,Broom Flying,Suggest all 3 fight (without informing troll),Dawn,Left
Ravenclaw,Ignorant,Log Fire,Cure>Book>Records,Every area of magic,Confuse Troll,Stars,Left
Slytherin,Ignorant,Log Fire,Liked,Hexes and Jinxes,Offer them a sample of a jinx,Dusk,Left
Slytherin,Ignorant,Luminous pool,Being Ignored,Every area of magic,Volunteer to fight,Stars,Black
Gryffindor,Ignorant,Luminous pool,Cure>Book>Records,Invisibility,Confuse Troll,Stars,Black
Ravenclaw,Ignorant,Luminous pool,Loneliness,Ghosts,Withdraw and review spells,Stars,Heads
Hufflepuff,Ignorant,Luminous pool,Records>Book>Cure,Merpeople,No one knows you,Stars,White
Gryffindor,Ignorant,Luminous pool,Trusted,Invisibility,Confuse Troll,Stars,Black
Slytherin,Ignorant,Merlin's rune box,Book>Records>Cure,Invisibility,Confuse troll,River,Heads
Slytherin,Ignorant,Merlin's rune box,Book>Records>Cure,Invisibility,Confuse Troll,River,Heads
Slytherin,Ignorant,Merlin's rune box,Boredom,Vampires,Confuse Troll,Dusk,White
Gryffindor,Ignorant,Merlin's rune box,Cure>Book>Records,Every area of magic,"Tell Flitwick, you'll get points",Stars,Black
Ravenclaw,Ignorant,Merlin's rune box,Hunger,Change appearance,"Tell Flitwick, you'll get points",Stars,Black
Ravenclaw,Ignorant,Merlin's rune box,Hunger,Every area of magic,"Tell Flitwick, you'll get points",Forest,Heads
Ravenclaw,Ignorant,Merlin's rune box,Hunger,Werewolves,"Tell Flitwick, you'll get points",Stars,Left
Ravenclaw,Ignorant,Merlin's rune box,Records>Cure>Book,Castle secrets,"Cobbled street, ancient buildings",Forest,Right
Ravenclaw,Ignorant,Ornate temptation box,Hunger,Ghosts,"Cobbled street, ancient buildings",Forest,Left
Ravenclaw,Ignorant,Ornate temptation box,Loneliness,Every area of magic,"Worried about mental health, call Dr.",Dawn,White
Slytherin,Ignorant,Ornate temptation box,Praised,Change appearance,Agree and walk away (bluffing),Dusk,Tails
Slytherin,Ignorant,Ornate temptation box,Trusted,Every area of magic,Tell person to tell truth or you will,River,Black
Slytherin,Ignorant,Parchment,Book>Cure>Records,Change the past,"Proceed with caution, concealed wand",River,White
Ravenclaw,Ignorant,Pewter box for worthy,Boredom,Every area of magic,Confuse Troll,Stars,White
Ravenclaw,Ignorant,Pewter box for worthy,Boredom,Read Minds,Ask what makes them think so,Stars,Heads
Ravenclaw,Ignorant,Pewter box for worthy,Cold,Read Minds,"Cobbled street, ancient buildings",Forest,Left
Slytherin,Ignorant,Pewter box for worthy,Envied,Goblins,Silly voice,Forest,Right
Slytherin,Ignorant,Pewter box for worthy,Feared,Castle secrets,"Draw wand, find source",River,White
Hufflepuff,Ignorant,Pewter box for worthy,Hunger,Castle Secrets,Volunteer to fight,River,White
Gryffindor,Ignorant,Pewter box for worthy,Praised,Centaurs,Suggest all 3 fight (without informing troll),Forest,Left
Gryffindor,Ignorant,Pewter box for worthy,Trusted,Read Minds,Twisting leafy woodsy path,Moon,Right
Ravenclaw,Ignorant,Piano,Book>Records>Cure,Werewolves,Ask what makes them think so,Stars,Left
Ravenclaw,Ignorant,Piano,Boredom,Centaurs,Volunteer to fight,Forest,White
Ravenclaw,Ignorant,Piano,Boredom,Talk to animals,Withdraw and review spells,Stars,Black
Ravenclaw,Ignorant,Piano,Cure>Book>Records,Change appearance,"Tell Flitwick, you'll get points",Dusk,Left
Ravenclaw,Ignorant,Piano,Cure>Book>Records,Change appearance,"Cobbled street, ancient buildings",Stars,Left
Ravenclaw,Ignorant,Piano,Cure>Book>Records,Every area of magic,"Cobbled street, ancient buildings",Stars,Left
Ravenclaw,Ignorant,Piano,Cure>Book>Records,Read Minds,"Tell Flitwick, you'll get points",Forest,Right
Ravenclaw,Ignorant,Piano,Hunger,Change appearance,"Tell Flitwick, you'll get points",Dusk,Heads
Ravenclaw,Ignorant,Piano,Hunger,Change appearance,Ask what makes them think so,Dusk,Left
Ravenclaw,Ignorant,Piano,Hunger,Every area of magic,Ask what makes them think so,Stars,Heads
Ravenclaw,Ignorant,Piano,Hunger,Werewolves,Ask what makes them think so,Dusk,Heads
Ravenclaw,Ignorant,Piano,Hunger,Werewolves,Confuse Troll,Forest,Heads
Ravenclaw,Ignorant,Piano,Liked,Ghosts,Lie and say you don't know,Dawn,Heads
Ravenclaw,Ignorant,Piano,Liked,Ghosts,Tell person to tell truth or you will,River,Left
Slytherin,Ignorant,Piano,Praised,Read Minds,"Tell Flitwick, you'll get points",Dusk,Right
Ravenclaw,Ignorant,Piano,Trusted,Every area of magic,Confuse Troll,Dusk,Black
Ravenclaw,Ignorant,Piano,Trusted,Werewolves,Withdraw and review spells,Dawn,Left
Ravenclaw,Ignorant,Plums and chocolate,Book>Cure>Records,Change the past,"Tell Flitwick, you'll get points",Stars,Left
Slytherin,Ignorant,Plums and chocolate,Cold,Ghosts,Withdraw and review spells,River,Black
Hufflepuff,Ignorant,Plums and chocolate,Cold,Invisibility,Tell Flitwick before the test,Forest,Right
Hufflepuff,Ignorant,Plums and chocolate,Cold,Magical Creatures,Tell person to tell truth or you will,Moon,White
Ravenclaw,Ignorant,Plums and chocolate,Cure>Book>Records,Read Minds,Confuse Troll,Dawn,Tails
Ravenclaw,Ignorant,Plums and chocolate,Envied,Castle secrets,Suggest all 3 fight (without informing troll),Dawn,White
Gryffindor,Ignorant,Plums and chocolate,Loneliness,Apparition/Disapparition,Eye at keyhole of dark,Moon,Tails
Ravenclaw,Ignorant,Plums and chocolate,Records>Cure>Book,Change appearance,Lantern-lit alley,Stars,Heads
Ravenclaw,Ignorant,Sea,Cure>Book>Records,Change the past,Withdraw and review spells,Moon,Heads
Ravenclaw,Ignorant,Sea,Cure>Book>Records,Every area of magic,No one knows you,Dawn,Left
Ravenclaw,Ignorant,Sea,Loneliness,Ghosts,Withdraw and review spells,Moon,Left
Gryffindor,Ignorant,Sea,Trusted,Ghosts,Eye at keyhole of dark,Forest,Black
Ravenclaw,Ignorant,"Silver tree, golden apples",Cure>Book>Records,Merpeople,No one knows you,Stars,White
Hufflepuff,Ignorant,"Silver tree, golden apples",Liked,Broom Flying,Lie and say you don't know,River,Left
Ravenclaw,Ignorant,"Silver tree, golden apples",Loneliness,Centaurs,Tell Flitwick before the test,Forest,White
Ravenclaw,Ignorant,"Silver tree, golden apples",Praised,Centaurs,Tell person to tell truth or you will,Moon,White
Slytherin,Ignorant,"Silver tree, golden apples",Praised,Change the past,Agree and walk away (bluffing),Dusk,White
Ravenclaw,Ignorant,Silvery glittery potion,Book>Records>Cure,Invisibility,"Nightmare: High up, no handholds",Stars,White
Ravenclaw,Ignorant,Silvery glittery potion,Book>Records>Cure,Invisibility,"Up high, no handholds",Stars,White
Ravenclaw,Ignorant,Silvery glittery potion,Cure>Book>Records,Change appearance,"Proceed with caution, concealed wand",Stars,Left
Ravenclaw,Ignorant,Silvery glittery potion,Cure>Book>Records,Invisibility,No one knows you,Forest,Right
Ravenclaw,Ignorant,Silvery glittery potion,Cure>Book>Records,Invisibility,Withdraw and review spells,Forest,White
Ravenclaw,Ignorant,Silvery glittery potion,Hunger,Apparition/Disapparition,Ask what makes them think so,Stars,Black
Ravenclaw,Ignorant,Silvery glittery potion,Hunger,Change appearance,Confuse Troll,Forest,Heads
Ravenclaw,Ignorant,Silvery glittery potion,Hunger,Werewolves,Eye at keyhole of dark,Dusk,Left
Ravenclaw,Ignorant,Silvery glittery potion,Praised,Every area of magic,Withdraw and review spells,Dusk,White
Ravenclaw,Ignorant,Silvery glittery potion,Praised,Every area of magic,Withdraw and review spells,Dusk,White
Slytherin,Ignorant,Silvery glittery potion,Records>Book>Cure,Change the past,Withdraw and review spells,Stars,Black
Ravenclaw,Ignorant,Silvery glittery potion,Trusted,Every area of magic,Withdraw and review spells,Stars,Black
Hufflepuff,Ignorant,Silvery glittery potion,Trusted,Werewolves,Eye at keyhole of dark,River,White
Ravenclaw,Ignorant,Statue,Being Ignored,Every area of magic,"Up high, no handholds",River,Black
Slytherin,Ignorant,Statue,Cold,Superstrength,"Worried about mental health, call Dr.",Dusk,Left
Gryffindor,Ignorant,Statue,Cure>Book>Records,Centaurs,Agree and walk away (bluffing),Moon,Heads
